machine_id,machine_name,machine_type,machine_department,avg_cycle_time_min,cycle_variability_pct,hourly_operating_cost,age_years,condition_score,install_date
MCH-001,CNC Mill #1,CNC Mill,Machining,45,15.0,85,14.8,0.5,2012-03-17
MCH-002,CNC Mill #2,CNC Mill,Machining,45,15.0,85,16.0,0.56,2011-01-04
MCH-003,CNC Mill #3,CNC Mill,Machining,45,15.0,85,5.3,0.74,2021-09-14
MCH-004,CNC Mill #4,CNC Mill,Machining,45,15.0,85,14.7,0.54,2012-04-23
MCH-005,CNC Lathe #1,CNC Lathe,Machining,35,12.0,75,5.8,0.74,2021-03-16
MCH-006,CNC Lathe #2,CNC Lathe,Machining,35,12.0,75,9.2,0.72,2017-10-21
MCH-007,CNC Lathe #3,CNC Lathe,Machining,35,12.0,75,13.0,0.65,2014-01-03
MCH-008,Drill Press #1,Drill Press,Machining,20,10.0,45,10.2,0.63,2016-10-21
MCH-009,Drill Press #2,Drill Press,Machining,20,10.0,45,11.8,0.59,2015-03-17
MCH-010,Drill Press #3,Drill Press,Machining,20,10.0,45,15.6,0.53,2011-05-30
MCH-011,Surface Grinder #1,Surface Grinder,Finishing,30,18.0,65,14.6,0.53,2012-05-29
MCH-012,Surface Grinder #2,Surface Grinder,Finishing,30,18.0,65,17.6,0.47,2009-05-30
MCH-013,Assembly Station #1,Assembly Station,Assembly,60,20.0,40,14.9,0.54,2012-02-10
MCH-014,Assembly Station #2,Assembly Station,Assembly,60,20.0,40,10.5,0.67,2016-07-04
MCH-015,Assembly Station #3,Assembly Station,Assembly,60,20.0,40,6.2,0.79,2020-10-20
MCH-016,Assembly Station #4,Assembly Station,Assembly,60,20.0,40,14.4,0.54,2012-08-10
MCH-017,Inspection Station #1,Inspection Station,Quality,15,8.0,55,8.6,0.67,2018-05-29
MCH-018,Inspection Station #2,Inspection Station,Quality,15,8.0,55,10.6,0.71,2016-05-28
